('green', None, None, None, 'forward')
('red', None, None, None, 'forward')
('red', None, None, None, 'right')
('green', None, None, None, 'right')
('green', None, None, None, 'left')
('red', None, None, None, 'left')
('red', 'forward', None, None, 'left')
('green', 'forward', None, None, 'right')
('green', None, 'forward', None, 'right')
('red', 'forward', None, None, 'forward')
('red', None, None, None, None)
('green', None, None, None, None)
('green', 'left', None, None, 'left')
('red', 'left', None, None, 'left')
('green', None, None, 'left', 'forward')
('green', None, None, 'right', 'forward')
('green', None, None, 'forward', 'forward')
('red', None, None, 'forward', 'right')
('green', None, 'left', None, 'forward')
('green', None, 'right', None, 'forward')
('red', None, None, 'forward', 'forward')
('red', None, 'left', None, 'forward')
('red', None, 'forward', None, 'forward')
('red', None, None, 'left', 'forward')
('green', None, 'right', None, 'right')
('green', None, 'left', None, 'right')
('green', 'left', None, None, 'forward')
('red', 'left', None, None, 'forward')
('green', None, None, 'forward', 'right')
('red', None, 'right', None, 'forward')
('green', 'right', 'right', None, 'forward')
('red', None, None, 'left', 'left')
('green', None, None, 'left', 'left')
('green', 'right', None, None, 'right')
('red', None, None, 'right', 'forward')
('green', 'forward', None, None, 'forward')
('green', None, 'forward', None, 'forward')
('red', 'forward', None, None, 'right')
('green', None, None, 'left', None)
('green', None, 'forward', None, 'left')
('red', None, 'forward', None, 'right')
('green', None, None, 'left', 'right')
('red', None, None, 'left', 'right')
('red', None, 'left', None, 'right')
('green', None, 'left', None, 'left')
('green', None, 'right', None, None)
('green', None, None, 'right', 'left')
('red', 'left', None, None, None)
('red', None, 'right', None, 'left')
('green', None, None, 'right', 'right')
('red', 'left', None, None, 'right')
('green', 'right', None, None, 'forward')
('red', 'right', None, None, 'left')
('green', None, None, 'forward', 'left')
('red', None, 'right', None, 'right')
('red', None, None, 'forward', 'left')
('green', None, 'left', None, None)
('green', 'left', None, None, 'right')
('red', 'right', None, None, 'right')
('red', 'right', None, None, 'forward')
('green', None, 'forward', 'left', 'forward')
('red', None, 'forward', None, 'left')
('green', None, 'forward', None, None)
('green', None, 'left', 'left', 'forward')
('red', None, None, 'right', 'left')
('red', None, None, 'right', 'right')
